collision_severity,day_of_week,time,road_type,speed_limit,urban_or_rural_area,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,number_of_vehicles,number_of_casualties,vehicle_type_mode,any_skidding,avg_vehicle_age,worst_casualty_severity,any_pedestrian,avg_casualty_age
2,5,05:03,6,40,2,13,4,4,1,1,0,1,1,9,2,14.0,2,0,54.0
3,4,21:00,6,60,2,0,-1,4,1,4,0,2,2,9,0,5.5,3,0,38.5
3,7,00:04,1,30,2,0,4,4,1,1,0,1,1,9,0,6.0,3,0,50.0
3,6,16:13,6,50,2,0,-1,1,1,1,0,1,2,9,0,45.0,3,0,32.0
3,5,17:10,6,30,1,13,4,1,1,2,0,2,1,1,0,7.0,3,0,36.0
3,2,10:12,1,70,2,0,2,1,2,2,0,4,1,9,0,3.75,3,0,21.0
3,5,16:41,6,50,2,0,-1,1,1,1,0,2,1,5,0,14.0,3,0,54.0
3,7,17:35,3,70,2,0,-1,6,1,2,0,1,1,4,1,8.0,3,0,20.0
3,4,17:43,6,30,2,13,4,4,1,1,0,1,1,9,0,13.0,3,1,17.0
3,6,13:18,3,70,2,0,-1,1,2,5,0,1,1,9,2,5.0,3,0,48.0
3,6,10:30,6,30,2,0,-1,1,1,1,0,2,1,9,0,10.0,3,0,34.0
3,2,10:36,6,60,2,18,4,1,2,1,0,2,2,9,0,6.0,3,0,42.0
2,4,12:41,3,70,2,0,-1,1,1,2,0,1,1,9,1,15.0,2,0,28.0
3,6,21:53,6,50,1,0,-1,1,1,1,0,2,3,9,0,16.5,3,0,41.0
3,6,22:30,6,30,1,13,4,4,1,1,0,2,1,3,2,3.0,3,0,17.0
3,5,09:12,6,30,1,13,4,1,1,4,0,2,2,9,0,8.5,3,0,40.0
3,4,15:00,6,60,2,13,4,1,1,1,0,2,1,1,0,6.0,3,0,77.0
3,3,08:24,3,60,1,0,-1,1,1,1,0,1,1,9,0,24.0,3,0,22.0
3,6,17:49,6,60,2,0,-1,6,2,2,15,1,1,9,5,17.0,3,0,20.0
3,2,22:20,6,60,2,0,-1,7,1,1,0,2,1,9,0,4.5,3,0,23.0
3,3,16:34,6,30,1,13,4,1,1,1,0,1,1,9,0,5.0,3,1,30.0
3,4,18:36,6,20,1,0,-1,1,1,1,0,4,1,9,0,13.25,3,0,19.0
3,3,13:10,6,30,1,0,-1,1,1,1,0,2,1,9,0,4.5,3,0,28.0
3,1,03:42,6,30,1,0,-1,6,1,1,0,2,2,8,0,5.5,3,0,36.0
3,6,09:41,6,30,1,0,-1,1,1,1,0,2,1,2,0,8.0,3,0,45.0
2,4,08:50,6,30,1,17,2,1,1,1,0,2,1,3,0,20.5,2,0,53.0
3,6,13:45,6,30,1,16,2,1,1,1,0,2,1,9,0,9.5,3,0,25.0
3,3,16:01,6,30,2,13,4,1,1,1,0,1,1,19,0,3.0,3,1,61.0
3,2,16:59,6,30,1,16,2,4,5,2,0,2,1,9,0,6.5,3,0,8.0
3,7,17:10,6,30,1,18,4,1,1,1,0,2,1,3,0,7.0,3,0,33.0
3,2,08:10,6,30,2,0,-1,1,1,2,0,1,1,11,0,7.0,3,1,17.0
3,5,17:30,6,30,2,0,-1,1,1,1,0,2,3,9,0,11.0,3,0,26.33333333333333
3,4,18:00,6,60,2,0,-1,1,1,1,0,3,1,9,0,11.666666666666666,3,0,69.0
3,1,02:00,6,60,2,0,-1,6,8,4,0,2,1,9,1,12.5,3,0,22.0
2,1,14:00,6,30,1,16,4,1,1,2,0,2,1,9,0,11.0,2,0,58.0
3,4,09:30,6,60,2,0,-1,1,1,1,0,2,1,1,0,2.5,3,0,63.0
3,7,11:30,6,30,2,0,-1,1,1,1,0,3,1,9,0,3.333333333333333,3,0,53.0
2,4,19:20,6,30,1,0,4,1,1,1,0,2,1,1,0,7.0,2,0,34.0
3,2,19:50,6,30,1,0,-1,1,7,2,17,1,1,9,0,10.0,3,0,65.0
3,3,22:13,6,30,2,0,-1,6,1,1,0,1,1,9,0,16.0,3,0,23.0
3,2,08:55,6,30,2,0,4,1,1,2,0,1,1,9,0,24.0,3,0,18.0
1,3,21:49,6,30,1,16,2,4,2,2,0,4,2,9,0,9.5,1,0,19.0
2,1,06:20,6,30,1,13,4,4,1,1,0,1,1,9,0,7.0,2,1,20.0
3,6,15:10,6,30,1,16,-1,1,1,1,0,2,1,9,0,0.5,3,0,66.0
2,4,01:20,2,30,1,0,-1,4,1,2,0,1,1,9,0,9.0,2,0,22.0
2,7,21:52,6,30,1,13,4,4,1,1,0,1,1,9,0,7.0,2,1,45.0
3,4,07:46,6,30,1,13,4,7,1,1,0,2,1,9,0,10.0,3,0,44.0
3,4,13:05,6,30,1,19,4,1,1,1,13,2,1,9,0,9.5,3,0,54.0
2,7,04:40,1,30,1,0,4,6,1,1,0,3,1,1,0,1.3333333333333333,2,0,18.0
3,4,06:48,3,70,2,0,-1,4,1,1,0,7,4,9,0,1.5714285714285714,3,0,34.25
2,5,09:15,9,20,1,19,4,1,1,1,0,1,1,9,0,6.0,2,1,80.0
3,6,15:00,6,30,1,13,4,1,1,1,0,2,1,9,0,7.0,3,0,26.0
3,4,12:30,6,30,1,13,4,1,1,1,13,1,1,9,0,10.0,3,1,38.0
3,2,17:15,6,30,1,0,-1,1,1,1,0,2,1,9,0,4.0,3,0,21.0
2,2,16:50,6,30,1,13,4,4,2,2,0,2,1,1,0,0.5,2,0,23.0
2,3,18:53,6,30,1,0,-1,4,1,1,0,1,1,9,0,4.0,2,1,13.0
3,5,12:24,6,30,1,13,4,1,1,1,13,2,1,4,0,12.0,3,0,41.0
3,1,13:25,3,30,1,13,2,1,1,1,0,1,1,9,0,7.0,3,1,13.0
2,6,23:00,6,30,1,13,4,4,1,1,0,2,4,8,0,6.0,2,0,33.75
3,7,08:00,3,30,1,16,2,1,1,1,0,2,2,5,0,3.0,3,0,52.0
2,3,23:25,6,30,1,0,-1,4,2,2,0,1,1,9,0,11.0,2,1,22.0
3,2,18:25,6,40,2,13,4,1,1,1,0,2,1,9,0,9.0,3,0,43.0
3,5,08:55,6,30,1,0,4,1,1,1,0,2,2,9,0,3.0,3,0,49.5
3,1,18:15,3,30,1,0,4,1,1,1,0,2,2,9,0,4.5,3,0,27.0
3,6,13:00,6,30,1,0,-1,1,2,2,0,1,1,20,0,7.0,3,1,80.0
3,2,12:55,6,30,1,0,-1,1,4,1,17,2,1,1,0,5.0,3,0,11.0
3,7,20:10,6,40,2,0,-1,4,1,1,0,1,1,9,1,1.0,3,0,35.0
3,6,16:13,6,30,1,0,-1,1,1,1,0,1,1,9,0,12.0,3,1,7.0
3,3,03:50,6,30,1,13,4,4,2,2,0,1,2,9,2,18.0,3,0,18.0
3,6,10:10,6,20,1,0,-1,1,1,1,0,2,1,9,0,3.5,3,0,81.0
3,1,13:21,6,20,1,0,-1,1,2,2,0,1,1,9,0,1.0,3,1,55.0
2,6,23:10,6,30,1,0,-1,4,1,1,0,1,1,9,0,14.0,2,1,66.0
3,6,09:20,6,30,1,19,4,1,1,1,0,1,1,9,0,5.0,3,1,18.0
3,2,21:00,6,30,1,13,4,4,1,1,0,2,1,9,0,9.0,3,0,29.0
3,5,10:51,6,20,1,0,4,1,1,1,0,2,1,3,0,6.0,3,0,31.0
3,7,21:30,7,30,1,0,-1,1,1,1,0,2,1,9,0,3.5,3,0,31.0
3,2,00:30,6,30,1,0,-1,4,1,1,0,2,1,9,0,7.0,3,0,20.0
2,1,08:46,1,30,1,0,4,1,1,1,0,2,1,1,0,3.0,2,0,26.0
3,1,00:12,6,40,1,0,-1,4,2,2,13,1,1,9,0,11.0,3,1,22.0
3,4,14:00,6,30,1,19,4,1,1,1,0,2,2,9,0,5.5,3,0,19.5
3,6,18:30,3,30,1,13,4,1,1,1,0,2,1,9,0,2.5,3,0,46.0
3,3,15:21,1,30,1,0,4,1,1,1,0,2,1,9,0,6.0,3,0,37.0
3,7,13:50,6,30,1,13,4,1,1,1,0,2,1,9,0,5.5,3,0,35.0
3,3,08:20,6,30,1,0,-1,1,1,1,0,2,1,19,0,2.5,3,0,34.0
3,5,09:15,3,30,1,13,4,1,1,1,0,1,1,9,0,18.0,3,1,35.0
3,6,18:30,6,30,1,13,4,4,1,1,0,2,1,3,0,4.0,3,0,33.0
3,7,08:16,3,30,1,0,-1,1,1,1,0,2,1,9,5,8.5,3,0,23.0
3,4,15:37,6,20,1,0,-1,1,1,1,0,1,1,11,0,5.0,3,1,38.0
2,4,14:50,6,30,1,0,-1,1,1,1,0,2,1,9,0,7.5,2,0,62.0
3,4,15:00,6,30,1,0,-1,1,4,1,0,2,1,11,0,6.5,3,0,24.0
3,6,08:08,6,30,1,0,-1,1,1,1,0,2,1,9,0,6.5,3,0,35.0
3,1,15:30,6,30,1,13,4,1,1,1,0,2,5,9,0,13.5,3,0,42.4
2,1,12:05,6,30,1,0,-1,1,1,1,0,1,1,8,0,4.0,2,1,39.0
3,7,11:45,6,30,1,0,-1,1,1,1,0,1,1,9,0,14.0,3,1,35.0
3,7,18:55,6,30,1,13,4,4,1,4,0,2,1,9,0,8.5,3,0,56.0
3,2,14:16,3,40,2,0,-1,1,8,1,13,2,1,9,0,6.5,3,0,50.0
3,6,15:33,6,30,1,13,3,1,1,2,0,1,1,9,0,8.0,3,1,51.0
3,4,18:50,6,30,1,13,4,1,1,1,0,1,1,9,0,12.0,3,1,38.0
2,1,14:40,6,30,1,13,4,1,1,1,0,1,1,9,0,7.0,2,1,4.0
3,3,15:30,6,30,1,0,-1,1,1,1,0,2,1,1,0,7.0,3,0,42.0
2,2,15:10,6,30,1,13,4,1,1,1,0,1,1,1,0,7.0,2,0,40.0
3,7,16:20,6,30,1,19,4,1,1,1,0,2,1,9,0,10.0,3,0,21.0
3,7,17:50,6,30,1,13,4,7,1,2,0,1,1,9,0,7.0,3,1,38.0
3,7,23:08,6,30,1,16,4,4,2,2,0,2,3,9,2,10.0,3,0,56.66666666666666
3,1,13:36,6,30,1,16,4,1,2,2,0,2,1,9,1,17.5,3,0,6.0
3,3,21:30,1,30,1,0,-1,4,1,2,0,2,1,9,0,5.0,3,0,22.0
3,6,15:20,6,30,1,0,-1,1,1,1,0,1,1,4,0,1.0,3,1,21.0
2,4,20:27,6,30,1,13,4,1,1,1,0,2,1,1,0,3.5,2,0,27.0
3,2,14:30,3,30,1,13,4,1,1,1,0,2,1,9,0,2.0,3,0,34.0
3,4,21:02,6,30,1,19,4,4,1,1,0,2,1,1,0,7.0,3,0,46.0
3,7,17:38,6,30,2,13,4,1,1,1,0,3,2,9,0,3.6666666666666665,3,1,15.0
3,7,10:46,3,70,2,0,-1,1,1,1,0,1,1,9,1,20.0,3,0,75.0
2,1,16:30,3,60,2,0,-1,1,1,1,0,2,1,5,5,24.5,2,0,70.0
3,7,18:15,6,30,1,17,2,1,1,1,0,2,2,9,0,8.0,3,0,36.0
3,1,15:15,6,30,2,19,4,1,1,1,0,2,1,9,0,5.0,3,0,75.0
2,5,09:00,6,30,1,13,4,1,1,1,0,2,1,1,0,6.0,2,0,60.0
3,6,07:45,6,20,1,13,4,1,1,1,0,2,1,1,0,7.0,3,0,35.0
3,7,12:42,2,30,1,13,4,1,1,1,0,2,1,9,9,1.5,3,0,38.0
2,3,15:50,6,20,1,13,4,1,9,1,0,1,1,9,9,7.0,2,1,12.0
3,5,11:44,9,20,1,-1,2,1,1,1,0,2,1,3,9,2.0,3,0,27.0
3,1,10:30,6,30,1,19,4,1,1,1,0,4,1,9,0,4.5,3,0,48.0
3,7,16:53,2,30,1,0,4,1,1,1,0,2,1,3,1,3.5,3,0,43.0
3,4,11:57,6,30,1,-1,9,1,1,1,0,1,1,9,9,7.0,3,1,48.0
3,1,01:30,6,20,1,0,4,4,1,1,11,1,1,3,0,8.0,3,0,18.0
3,3,15:35,6,30,1,13,4,1,1,1,13,2,1,9,0,5.0,3,0,40.0
3,6,15:10,9,20,1,0,4,1,8,1,0,2,1,9,9,6.0,3,0,46.0
2,4,20:23,6,30,1,0,-1,4,1,2,0,2,1,5,0,14.0,2,0,38.0
3,2,08:15,6,30,1,13,4,1,2,2,0,1,1,9,0,18.0,3,0,21.0
3,5,20:15,6,30,1,19,3,4,1,1,0,1,1,11,0,13.0,3,0,39.0
3,2,19:05,9,30,1,0,-1,1,1,2,0,2,1,9,9,3.0,3,0,33.0
3,5,15:10,6,30,1,-1,2,1,8,1,0,1,1,11,9,11.0,3,1,33.0
2,4,13:00,6,40,1,16,4,1,1,1,0,2,1,1,0,6.0,2,0,43.0
2,6,01:40,6,30,1,0,-1,6,1,1,0,2,2,9,0,10.0,2,0,32.0
3,5,10:30,6,30,1,0,-1,1,1,1,0,2,1,9,9,4.0,3,0,48.0
3,4,10:40,1,30,1,0,4,1,1,1,0,1,1,9,0,1.0,3,1,59.0
3,2,12:04,3,20,1,13,4,1,1,1,0,1,1,11,0,7.0,3,0,55.0
3,2,00:26,6,20,1,16,4,4,1,1,0,2,2,9,0,4.5,3,0,36.0
3,5,20:40,6,30,1,13,4,1,1,1,0,2,2,9,0,11.0,3,0,37.0
3,6,18:00,3,20,1,0,-1,1,1,1,0,2,1,2,9,11.5,3,0,41.0
3,5,13:10,6,30,1,16,2,1,1,1,0,2,1,9,0,-0.5,3,0,35.0
3,7,14:59,9,20,1,-1,9,1,1,1,0,2,1,3,9,3.0,3,0,34.0
3,4,14:40,6,20,1,13,4,1,1,1,0,2,1,5,0,5.5,3,0,53.0
3,5,10:00,6,30,1,19,4,1,1,1,0,3,2,9,0,6.666666666666667,3,0,30.5
3,2,19:22,6,20,1,0,-1,4,1,1,0,2,1,9,0,1.0,3,0,39.0
3,7,20:27,6,40,1,13,4,4,1,1,0,2,2,9,0,10.5,3,0,40.0
3,4,22:00,2,20,1,16,4,4,1,1,0,2,2,9,0,10.0,3,0,20.0
3,3,01:50,6,30,1,13,4,4,2,2,0,2,1,9,0,8.0,3,1,18.0
3,6,14:28,1,30,2,0,4,1,1,1,0,2,1,3,0,3.5,3,0,43.0
3,1,12:50,9,30,1,13,3,1,1,1,0,2,1,9,9,12.0,3,0,39.0
3,3,23:16,6,30,1,13,4,4,1,1,0,2,2,9,5,10.0,3,0,25.5
3,2,09:41,6,40,2,0,-1,1,1,1,0,3,1,9,0,9.666666666666666,3,0,37.0
2,3,08:30,6,30,1,13,4,1,1,9,0,2,1,1,9,5.0,2,0,47.0
3,7,04:10,6,20,1,0,-1,1,1,1,0,1,1,3,9,13.0,3,0,27.0
3,5,22:50,6,20,1,16,2,4,1,1,0,2,1,1,2,0.0,3,0,20.0
3,6,21:25,3,50,1,0,-1,4,1,1,0,2,1,9,0,0.5,3,0,45.0
2,2,15:03,9,20,1,16,4,1,4,1,0,1,2,9,9,20.0,2,1,23.0
3,1,11:00,6,30,1,13,2,1,9,2,0,2,1,1,9,7.0,3,0,33.0
3,6,09:00,6,30,1,0,-1,1,1,1,0,2,1,1,0,4.5,3,0,31.0
3,1,12:15,6,20,1,0,-1,1,1,1,0,2,1,1,9,0.0,3,0,28.0
3,6,21:40,9,30,1,-1,9,6,9,9,0,2,1,9,9,7.0,3,0,36.0
2,7,21:15,3,30,1,17,2,4,1,1,0,1,1,9,0,5.0,2,1,20.0
3,5,20:45,6,20,1,-1,9,4,1,1,0,2,1,2,9,7.5,3,0,30.0
3,7,17:25,6,40,1,0,-1,4,2,2,0,2,1,9,0,17.5,3,0,35.0
3,5,22:02,6,20,1,13,4,4,1,1,0,2,1,3,9,6.0,3,0,25.0
2,4,23:10,6,40,1,0,-1,4,1,1,0,1,1,9,5,10.0,2,0,21.0
2,3,10:25,6,20,1,13,4,1,1,2,0,2,1,1,0,1.5,2,0,50.0
3,6,20:16,6,20,1,13,2,4,1,1,0,3,1,1,0,1.0,3,0,33.0
3,7,09:21,6,20,1,13,4,1,1,1,0,2,1,3,0,1.5,3,0,49.0
3,4,16:25,6,30,1,18,9,1,8,1,0,2,1,9,9,5.0,3,0,48.0
3,5,16:57,6,30,1,0,-1,4,8,2,17,1,1,2,5,3.0,3,0,32.0
2,2,14:30,6,30,1,16,2,1,8,1,0,1,1,1,2,7.0,2,0,73.0
3,6,19:25,6,40,1,0,-1,4,8,2,0,2,1,9,9,9.0,3,0,35.0
3,6,08:24,3,30,1,17,2,1,1,1,0,2,1,1,2,-0.5,3,0,28.0
3,1,22:00,7,20,1,0,4,5,1,1,0,2,1,9,9,11.0,3,0,35.0
3,6,14:05,6,30,1,0,-1,1,1,1,0,1,1,9,0,7.0,3,1,18.0
2,4,17:32,6,30,1,16,2,1,1,1,0,1,1,11,0,6.0,2,0,71.0
3,7,17:51,2,20,1,13,4,1,1,1,0,1,1,9,0,6.0,3,1,2.0
3,1,19:20,6,30,1,0,-1,4,1,1,0,2,1,3,0,5.5,3,0,38.0
3,1,22:25,1,40,1,0,4,4,1,2,0,2,1,9,9,14.5,3,0,33.0
3,6,22:10,7,20,1,16,2,4,1,1,0,2,1,1,9,0.0,3,0,35.0
2,6,21:30,6,20,1,0,-1,4,2,2,0,2,2,1,2,-0.5,2,0,39.0
3,5,21:00,2,30,1,19,2,4,1,1,0,2,1,3,9,2.0,3,0,33.0
2,5,14:15,6,20,1,16,2,4,1,1,0,1,1,8,0,7.0,2,0,84.0
3,4,18:10,6,20,1,13,4,1,1,1,0,1,1,3,0,2.0,3,0,35.0
3,3,11:30,6,30,1,18,4,1,8,1,0,2,1,4,0,5.0,3,0,26.0
3,7,10:00,1,30,1,0,4,1,1,1,0,2,1,1,9,0.0,3,0,34.0
3,1,03:00,6,20,1,13,4,4,1,1,0,2,1,9,9,5.5,3,0,58.0
3,5,08:47,3,20,1,16,2,1,1,1,0,1,1,11,0,11.0,3,1,45.0
2,5,15:30,3,20,1,13,4,1,1,1,0,2,1,4,5,0.5,2,0,32.0
3,5,22:29,3,30,1,13,2,4,1,1,0,2,1,9,0,1.0,3,0,22.0
3,1,16:05,9,20,1,0,-1,1,1,1,19,1,1,1,9,7.0,3,0,60.0
2,1,05:09,3,30,1,17,2,1,1,1,0,2,1,9,5,4.0,2,0,27.0
3,4,00:37,3,30,1,16,4,7,9,1,0,1,1,11,9,7.0,3,1,24.0
3,1,23:15,6,30,1,0,-1,4,1,1,0,1,1,11,0,5.0,3,0,41.0
3,5,01:25,6,30,1,17,2,4,4,1,0,2,1,3,9,7.5,3,0,47.0
3,3,20:00,6,30,1,16,2,4,1,1,0,2,1,3,0,1.5,3,0,21.0
3,5,10:10,1,20,1,0,4,1,1,1,0,2,1,1,9,5.0,3,0,48.0
2,4,07:51,6,20,1,0,-1,1,1,1,0,3,1,9,0,10.333333333333334,2,0,38.0
3,5,10:30,6,20,1,17,2,1,1,1,0,2,1,3,0,5.5,3,0,52.0
3,4,18:44,3,30,1,16,2,1,1,1,0,2,1,1,0,5.5,3,0,26.0
3,1,15:10,6,30,1,0,-1,1,1,1,0,2,1,1,5,6.5,3,0,18.0
3,6,16:20,6,30,1,16,2,1,1,1,0,2,1,9,9,11.0,3,0,56.0
3,5,09:20,6,30,1,13,4,1,1,1,0,2,1,2,0,8.5,3,0,41.0
3,2,18:00,3,30,2,0,-1,1,1,1,0,2,1,1,5,1.5,3,0,33.0
2,3,18:16,7,30,1,13,4,1,1,1,0,2,1,4,0,7.0,2,0,19.0
3,2,10:50,6,30,2,0,-1,1,1,1,0,2,1,1,0,7.0,3,0,38.0
3,6,16:22,6,20,1,0,-1,1,1,1,0,1,1,9,9,7.0,3,1,35.0
3,5,16:15,6,20,1,19,4,1,1,1,0,1,1,9,0,7.0,3,1,53.0
3,7,21:00,6,20,1,19,4,7,1,1,0,2,1,1,0,5.0,3,0,33.0
3,4,15:30,6,20,1,-1,4,1,1,1,0,2,1,3,9,7.5,3,0,29.0
3,3,16:30,9,20,1,0,-1,1,1,2,0,2,1,3,9,7.0,3,0,24.0
2,4,15:20,6,20,1,13,4,1,1,2,0,2,1,3,0,3.5,2,0,30.0
3,4,20:50,1,30,1,0,1,4,1,1,0,2,2,9,0,7.0,3,0,50.0
3,4,17:40,7,30,1,13,4,1,1,1,0,2,1,1,9,7.0,3,0,19.0
3,4,16:21,3,20,1,17,2,1,1,1,0,2,1,3,0,4.5,3,0,17.0
3,4,14:30,3,30,1,16,4,1,1,1,0,2,1,19,9,0.0,3,0,54.0
2,3,09:45,6,30,2,17,4,1,1,1,0,1,1,9,0,13.0,2,1,70.0
3,5,14:06,6,20,1,13,4,1,1,1,0,1,1,19,0,2.0,3,1,34.0
3,5,19:00,6,20,1,-1,9,4,1,1,0,2,1,1,9,7.0,3,0,54.0
3,3,19:14,6,20,1,13,2,4,1,1,0,2,1,9,0,5.5,3,0,30.0
3,5,16:40,6,20,1,13,4,1,8,1,0,2,1,9,9,3.5,3,0,51.0
3,3,10:36,6,20,1,13,4,1,2,2,0,1,1,9,0,14.0,3,1,42.0
3,6,17:17,6,30,1,17,2,4,1,1,0,2,1,5,5,5.5,3,0,24.0
2,7,06:05,6,20,1,0,2,1,1,1,0,2,1,1,0,7.0,2,0,27.0
3,4,15:15,3,20,1,0,-1,1,1,1,0,2,1,3,0,6.0,3,0,25.0
3,6,07:15,6,30,1,16,2,4,1,1,0,2,1,1,9,4.5,3,0,35.0
3,1,16:10,6,20,1,0,-1,1,2,2,0,2,1,1,0,-0.5,3,0,19.0
3,6,18:19,9,20,1,13,4,4,1,1,0,2,1,1,9,1.0,3,0,35.0
2,3,12:24,6,20,1,18,4,1,1,1,0,2,1,3,0,2.5,2,0,22.0
3,4,09:35,3,70,2,0,-1,1,1,1,0,2,1,9,1,0.0,3,0,29.0
3,3,08:46,6,30,1,13,4,1,1,1,0,1,1,9,0,10.0,3,1,7.0
3,1,19:46,6,30,2,16,4,6,1,1,0,2,1,2,0,8.5,3,0,20.0
3,4,15:00,9,30,1,0,-1,1,1,1,0,1,1,9,0,8.0,3,1,65.0
3,2,18:00,6,60,2,0,-1,6,2,2,0,1,1,9,5,13.0,3,0,19.0
3,6,11:55,1,30,1,0,4,1,9,1,0,2,1,9,0,9.0,3,0,31.0
3,5,16:20,6,40,2,13,4,1,1,1,0,3,5,9,1,7.0,3,0,43.8
3,3,15:41,6,60,2,0,-1,1,1,1,0,2,3,9,0,8.5,3,0,69.0
3,3,20:40,6,60,2,0,-1,1,1,1,0,2,1,9,0,14.0,3,0,52.0
